source_section,target_section,stage,hypothesis,source_metric,target_metric,lag_quarters,lag_interpretation,observations,corr,r_squared,beta_revenue_yoy_per_1_capex_yoy,status
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,-4,Cooling revenue leads Hyperscalers capex by 4 quarter(s),25,0.15971398342069912,0.025508556500107353,0.07759880211420166,ok
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,-3,Cooling revenue leads Hyperscalers capex by 3 quarter(s),26,0.5085332703654751,0.25860608706860544,0.24447700158733085,ok
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,-2,Cooling revenue leads Hyperscalers capex by 2 quarter(s),27,0.26378517100183135,0.06958261644046541,0.1278471869050824,ok
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,-1,Cooling revenue leads Hyperscalers capex by 1 quarter(s),28,-0.021440083972831456,0.0004596772007620643,-0.010339763956382397,ok
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,0,Hyperscalers capex and Cooling revenue move in the same quarter,29,0.06077681514836734,0.003693821259578813,0.03225100237273728,ok
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,1,Hyperscalers capex leads Cooling revenue by 1 quarter(s),29,-0.05805220831460848,0.003370058890202698,-0.029596400105898944,ok
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,2,Hyperscalers capex leads Cooling revenue by 2 quarter(s),28,-0.44197100767580694,0.1953383716259682,-0.2401477251963723,ok
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,3,Hyperscalers capex leads Cooling revenue by 3 quarter(s),27,-0.3456800659542538,0.11949470799813727,-0.2164668164557451,ok
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,4,Hyperscalers capex leads Cooling revenue by 4 quarter(s),26,0.1974653248490814,0.03899255451775324,0.2220047689828673,ok
Hyperscalers,Cooling,facility_and_server_buildout,"Data-center buildout pull-through into physical infrastructure, server assembly, and networking.",capex_yoy_pct,revenue_usd_m_yoy_pct,5,Hyperscalers capex leads Cooling revenue by 5 quarter(s),25,0.07441374066395869,0.005537404799602899,0.08457457081438877,ok
